Reference,Quantity,Value,Footprint,Manufacturer,MPN,
C1 C2 C3 C4 C5 C6 C7 C8 C9 C10 C11 C12 C13 C14 C15 C16 C17 C18 C19 C20 C21 C22 C23 C24 C25 C26 C27 C28 C29 C30 C31 C32 C33 C35 C36,35,C_100n_0201,0201-res,YAGEO,CC0201KRX6S5BB104,
J1 J1,2,ddr4-sodimm-edge-connector,SODIMM_DDR4_EDGE,,,
R1 R3 R4 R5,4,R_10k_0402,0402-res,VISHAY,CRCW040210K0FKEDHP,
R2 R7,2,R_0R_0402,0402-res,PANASONIC,ERJ2GE0R00X,
R6,1,R_240R_0402,0402-res,PANASONIC,ERJ2GEJ241X,
U1 U1,2,MT53E256M32D2DS-053,BGA-200_10.0x14.5mm_Layout12x22_P0.80x0.65mm,Micron,MT53E256M32D2DS-053 WT:B,
